msa,race,income,age,naics,wfh,essential,sick,p_race_inc
1600,2,2,2,51,0,0,1,.12758523
1600,3,1,2,51,0,0,1,.08486063
1600,1,1,2,51,0,0,1,.051997386
1600,1,2,2,51,0,0,1,.09279836
1600,1,3,2,51,0,0,1,.040584221
1600,1,2,2,51,1,0,1,.078116067
1600,1,1,2,51,1,0,1,.040108904
1600,3,1,2,51,1,0,1,.081234902
1600,3,2,2,51,1,0,1,.24091789
1600,2,3,2,51,1,0,1,.060775712
1600,1,3,2,51,1,0,1,.04178277
1600,3,3,2,51,1,0,1,.33025753
1600,2,1,2,51,1,0,1,.019731669
1600,2,2,2,51,1,0,1,.10707458
1600,2,3,2,52,0,0,0,.062147569
1600,1,3,2,52,0,0,0,.043213457
1600,2,2,2,52,0,0,0,.11413851
1600,1,2,2,52,0,0,0,.041175473
1600,3,1,2,52,0,0,0,.046043698
1600,1,1,2,52,0,0,0,.013582939
1600,3,2,2,52,0,0,0,.15901676
1600,3,3,2,52,0,0,0,.50084627
1600,2,1,2,52,0,0,0,.019835331
1600,2,3,2,52,1,0,0,.06173674
1600,2,1,2,52,1,0,0,.016430968
1600,3,3,2,52,1,0,0,.54056394
1600,1,3,2,52,1,0,0,.043761723
1600,1,1,2,52,1,0,0,.010951385
1600,3,2,2,52,1,0,0,.1485309
1600,3,1,2,52,1,0,0,.041377582
1600,2,2,2,52,1,0,0,.099906266
1600,1,2,2,52,1,0,0,.036740448
1600,2,3,2,52,0,0,1,.063462943
1600,3,2,2,52,0,0,1,.16023067
1600,1,3,2,52,0,0,1,.02926917
1600,2,1,2,52,0,0,1,.023228427
1600,3,3,2,52,0,0,1,.39827892
1600,1,2,2,52,0,0,1,.067348823
1600,3,1,2,52,0,0,1,.056668893
1600,2,2,2,52,0,0,1,.17414558
1600,1,1,2,52,0,0,1,.027366579
1600,3,1,2,52,1,0,1,.052126512
1600,2,2,2,52,1,0,1,.15602422
1600,2,3,2,52,1,0,1,.064529575
1600,3,2,2,52,1,0,1,.15319288
1600,2,1,2,52,1,0,1,.019695297
1600,1,3,2,52,1,0,1,.03033925
1600,1,2,2,52,1,0,1,.061511301
1600,1,1,2,52,1,0,1,.022584723
1600,3,3,2,52,1,0,1,.43999624
1600,1,1,2,53,0,0,0,.033557568
1600,2,3,2,53,0,0,0,.06753964
1600,3,1,2,53,0,0,0,.066791251
1600,1,2,2,53,0,0,0,.070358142
1600,3,2,2,53,0,0,0,.2244029
1600,2,2,2,53,0,0,0,.10831051
1600,2,1,2,53,0,0,0,.017509326
1600,1,3,2,53,0,0,0,.024869714
1600,3,3,2,53,0,0,0,.38666093
1600,2,1,2,53,1,0,0,.01211851
1600,2,3,2,53,1,0,0,.072791182
1600,3,2,2,53,1,0,0,.22598591
1600,1,2,2,53,1,0,0,.055620082
1600,3,3,2,53,1,0,0,.45680386
1600,1,3,2,53,1,0,0,.023097457
1600,1,1,2,53,1,0,0,.020796409
1600,2,2,2,53,1,0,0,.080617987
1600,3,1,2,53,1,0,0,.052168634
1600,1,2,2,53,0,0,1,.12375129
1600,3,1,2,53,0,0,1,.063471898
1600,3,3,2,53,0,0,1,.33601111
1600,2,3,2,53,0,0,1,.05169104
1600,1,3,2,53,0,0,1,.017206917
1600,2,1,2,53,0,0,1,.016922032
1600,3,2,2,53,0,0,1,.22829983
1600,2,2,2,53,0,0,1,.10176811
1600,1,1,2,53,0,0,1,.060877748
1600,3,1,2,53,1,0,1,.051048234
1600,1,2,2,53,1,0,1,.10073406
1600,1,3,2,53,1,0,1,.016455302
1600,1,1,2,53,1,0,1,.038847748
1600,3,3,2,53,1,0,1,.40875441
1600,2,2,2,53,1,0,1,.077997811
1600,2,3,2,53,1,0,1,.057364687
1600,3,2,2,53,1,0,1,.23673792
1600,2,1,2,53,1,0,1,.012059844
1600,2,1,2,54,0,0,0,.011690524
1600,3,3,2,54,0,0,0,.53740537
1600,1,3,2,54,0,0,0,.029609311
1600,3,1,2,54,0,0,0,.076745398
1600,2,2,2,54,0,0,0,.056152318
1600,2,3,2,54,0,0,0,.040775653
1600,3,2,2,54,0,0,0,.21306472
1600,1,2,2,54,0,0,0,.023118062
1600,1,1,2,54,0,0,0,.011438638
1600,2,2,2,54,1,0,0,.045879856
1600,1,1,2,54,1,0,0,.0084923599
1600,3,1,2,54,1,0,0,.067648493
1600,2,1,2,54,1,0,0,.0092065567
1600,2,3,2,54,1,0,0,.040881388
1600,3,3,2,54,1,0,0,.57806134
1600,1,3,2,54,1,0,0,.030061945
1600,3,2,2,54,1,0,0,.20061637
1600,1,2,2,54,1,0,0,.019151673
1600,2,3,2,54,0,0,1,.06521821
1600,2,1,2,54,0,0,1,.013721679
1600,1,2,2,54,0,0,1,.052927557
1600,3,3,2,54,0,0,1,.41921657
1600,1,3,2,54,0,0,1,.031156346
1600,2,2,2,54,0,0,1,.087472349
1600,1,1,2,54,0,0,1,.019605299
1600,3,2,2,54,0,0,1,.23721266
1600,3,1,2,54,0,0,1,.073469289
1600,1,2,2,54,1,0,1,.044890698
1600,1,3,2,54,1,0,1,.032385793
1600,3,1,2,54,1,0,1,.066302635
1600,3,2,2,54,1,0,1,.22867146
1600,2,1,2,54,1,0,1,.011063429
1600,2,2,2,54,1,0,1,.073171906
