region,msa,race,income,age,naics,wfh,essential,sick,msaname,raw_age,N,pr_type_ineq,binwt,nbin,fillinMEPS
1,5600,1,1,4,52,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.400398,215.5191160877815,.00025245655,397.4141643637581,75,0
1,5600,1,1,4,53,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.027691,466.4632725734373,.00054640952,883.8231558214746,75,0
1,5600,1,1,4,53,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.027691,497.1913809757571,.00058240409,883.8231558214746,75,0
1,5600,1,1,4,53,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.027691,145.3841090183596,.00017030121,883.8231558214746,75,0
1,5600,1,1,4,53,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.027691,154.9612374324461,.00018151975,883.8231558214746,75,0
1,5600,1,1,4,54,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",43.452621,206.12945621848,.00024145759,501.0096431897861,232,0
1,5600,1,1,4,54,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",43.452621,419.102801386119,.00049093203,501.0096431897861,232,0
1,5600,1,1,4,54,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",43.452621,183.557770484902,.0002150174,501.0096431897861,232,0
1,5600,1,1,4,54,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",43.452621,373.2100071368441,.00043717379,501.0096431897861,232,0
1,5600,1,1,4,56,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.59164,1898.721554026093,.0022241399,6603.173784432878,75,0
1,5600,1,1,4,56,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.59164,2038.106029882942,.0023874133,6603.173784432878,75,0
1,5600,1,1,4,56,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.59164,224.8337576471202,.0002633676,6603.173784432878,75,0
1,5600,1,1,4,56,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.59164,241.3387240536578,.00028270134,6603.173784432878,75,0
1,5600,1,1,4,61,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",43.903828,807.7013975563139,.00094613183,2501.583148433224,75,0
1,5600,1,1,4,61,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",43.903828,1184.346688371649,.0013873297,2501.583148433224,75,0
1,5600,1,1,4,61,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",43.903828,410.7142845087046,.00048110585,2501.583148433224,75,0
1,5600,1,1,4,61,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",43.903828,602.2375400073533,.00070545392,2501.583148433224,75,0
1,5600,1,1,4,62,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",44.25835,7391.887237429619,.0086587695,20162.48151370821,232,0
1,5600,1,1,4,62,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",44.25835,7398.112762570381,.0086660618,20162.48151370821,232,0
1,5600,1,1,4,71,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.381615,436.8363207246563,.00051170489,1509.381161832255,75,0
1,5600,1,1,4,71,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.381615,466.2614143822888,.00054617313,1509.381161832255,75,0
1,5600,1,1,4,71,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.381615,120.8799243901471,.00014159731,1509.381161832255,75,0
1,5600,1,1,4,71,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.381615,129.0223405029079,.00015113525,1509.381161832255,75,0
1,5600,1,1,4,72,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.278194,1757.768785635984,.0020590294,7487.241398581319,75,0
1,5600,1,1,4,72,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.278194,1596.649327429318,.0018702961,7487.241398581319,75,0
1,5600,1,1,4,72,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.278194,193.6668973718196,.00022685909,7487.241398581319,75,0
1,5600,1,1,4,72,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.278194,175.9151282926892,.00020606488,7487.241398581319,75,0
