age_i,naics_i,contactlvl,age_j,naics_j,num_contact_per_person_day,num_people
2,0,neighbor,1,0,12.08611,561039
2,0,school,1,0,2.1427174,561039
2,0,hh,2,0,.40552974,561039
2,0,neighbor,2,0,7.7704759,561039
2,0,school,2,0,.21329711,561039
2,0,hh,2,11,.00018715276,561039
2,0,neighbor,2,11,.0029962265,561039
2,0,hh,2,21,.0031227774,561039
2,0,neighbor,2,21,.063236244,561039
2,0,hh,2,22,.0021584951,561039
2,0,neighbor,2,22,.04327685,561039
2,0,hh,2,23,.043791965,561039
2,0,neighbor,2,23,.9020496,561039
2,0,hh,2,31,.11971539,561039
2,0,neighbor,2,31,2.5257869,561039
2,0,hh,2,42,.041476618,561039
2,0,neighbor,2,42,.9003278,561039
2,0,hh,2,44,.093706496,561039
2,0,neighbor,2,44,1.9186136,561039
2,0,hh,2,48,.04255854,561039
2,0,neighbor,2,48,.93279254,561039
2,0,hh,2,51,.0300906,561039
2,0,neighbor,2,51,.66856313,561039
2,0,hh,2,52,.055546939,561039
2,0,neighbor,2,52,1.2140511,561039
2,0,hh,2,53,.021795277,561039
2,0,neighbor,2,53,.46082893,561039
2,0,hh,2,54,.071609996,561039
2,0,neighbor,2,54,1.5418429,561039
2,0,hh,2,55,.023224767,561039
2,0,neighbor,2,55,.50434995,561039
2,0,hh,2,56,.061733678,561039
2,0,neighbor,2,56,1.3335223,561039
2,0,hh,2,61,.012227314,561039
2,0,neighbor,2,61,.27189019,561039
2,0,hh,2,62,.083810575,561039
2,0,neighbor,2,62,1.7442245,561039
2,0,hh,2,71,.0072044902,561039
2,0,neighbor,2,71,.14581874,561039
2,0,hh,2,72,.049688168,561039
2,0,neighbor,2,72,1.0106125,561039
2,0,hh,2,81,.034863885,561039
2,0,neighbor,2,81,.71205568,561039
2,0,hh,2,92,.00022636572,561039
2,0,neighbor,2,92,.0039034719,561039
2,0,hh,3,0,.074613348,561039
2,0,neighbor,3,0,1.8090703,561039
2,0,hh,3,11,.000033865737,561039
