age_i,naics_i,age_j,naics_j,contactlvl,num_people,num_contact_per_person_day
1,0,4,61,home,821363,.0024021049030125
1,0,4,61,neighbor,821363,.0557609745883383
1,0,4,62,home,821363,.0054640881717205
1,0,4,62,neighbor,821363,.0980601716437377
1,0,4,71,home,821363,.0002702824422158
1,0,4,71,neighbor,821363,.0135360369058617
1,0,4,72,home,821363,.0015291655436158
1,0,4,72,neighbor,821363,.0194457262332435
1,0,4,92,home,821363,.0017604883760214
1,0,4,92,neighbor,821363,.0261248684255406
1,0,5,0,home,821363,.057073425501585
1,0,5,0,neighbor,821363,.9471232937648892
1,0,5,0,work,821363,.0006842285511084
1,0,6,0,home,821363,.0190780442208052
1,0,6,0,neighbor,821363,.6676999111659825
1,0,6,0,work,821363,.0001193138741655
1,11,1,0,home,115,.747826099395752
1,11,1,0,neighbor,115,.7739130426198244
1,11,1,0,school,115,50.40000152587891
1,11,1,11,home,115,1
1,11,1,11,school,115,.1478260904550552
1,11,1,31,school,115,.1304347813129425
1,11,1,42,school,115,.0260869562625885
1,11,1,44,home,115,.2347826063632965
1,11,1,44,neighbor,115,.0173913035541773
1,11,1,44,school,115,.8782608509063721
1,11,1,48,school,115,.0086956517770886
1,11,1,51,school,115,.104347825050354
1,11,1,52,school,115,.0434782616794109
1,11,1,53,neighbor,115,.0086956517770886
1,11,1,54,school,115,.0260869562625885
1,11,1,56,school,115,.0608695633709431
1,11,1,61,school,115,.2000000029802322
1,11,1,62,school,115,.0695652142167091
1,11,1,71,school,115,.52173912525177
1,11,1,72,neighbor,115,.0173913035541773
1,11,1,72,school,115,2.243478298187256
1,11,2,0,home,115,.304347813129425
1,11,2,0,neighbor,115,4.834782533347607
1,11,2,0,school,115,1.86956524848938
1,11,2,11,home,115,.304347813129425
1,11,2,11,neighbor,115,.0173913035541773
1,11,2,11,school,115,.0173913035541773
1,11,2,11,work,115,.5478261113166809
1,11,2,22,neighbor,115,.0347826071083546
1,11,2,23,home,115,.3565217256546021
1,11,2,23,neighbor,115,.3739130413159728
1,11,2,23,school,115,.1304347813129425
1,11,2,31,home,115,.2347826063632965
1,11,2,31,neighbor,115,.9391304235905409
1,11,2,31,school,115,.1217391267418861
1,11,2,42,neighbor,115,.2956521697342396
1,11,2,44,neighbor,115,1.626086944714189
1,11,2,44,school,115,.7043478488922119
1,11,2,48,home,115,.304347813129425
1,11,2,48,neighbor,115,.6347826216369867
1,11,2,48,school,115,.104347825050354
1,11,2,51,home,115,.104347825050354
1,11,2,51,neighbor,115,.2173912990838289
1,11,2,51,school,115,.0173913035541773
1,11,2,52,neighbor,115,1.078260867856443
1,11,2,52,school,115,.0086956517770886
1,11,2,53,neighbor,115,.2434782618656754
1,11,2,53,school,115,.0173913035541773
1,11,2,54,home,115,.104347825050354
1,11,2,54,neighbor,115,1.44347826205194
1,11,2,55,neighbor,115,.0173913035541773
1,11,2,55,school,115,.0260869562625885
1,11,2,56,neighbor,115,.3391304295510054
1,11,2,56,school,115,.0956521704792976
1,11,2,61,neighbor,115,.8173913024365902
1,11,2,61,school,115,.0260869562625885
1,11,2,62,home,115,.2347826063632965
1,11,2,62,neighbor,115,1.452173905447125
1,11,2,62,school,115,.0869565233588219
1,11,2,71,neighbor,115,.2260869536548853
1,11,2,71,school,115,.2173912972211838
1,11,2,72,neighbor,115,.826086949557066
1,11,2,72,school,115,.634782612323761
1,11,2,92,neighbor,115,.3304347787052393
1,11,2,92,school,115,.0347826071083546
1,11,3,0,neighbor,115,1.49565215036273
1,11,3,11,neighbor,115,.0086956517770886
1,11,3,11,work,115,.2782608568668365
1,11,3,22,neighbor,115,.0173913035541773
1,11,3,23,neighbor,115,.0782608687877655
