"age","naics","sick","wfh","essential","num_people","race","income","N","prob_age_income"
2,22,1,0,1,45.3811799686696,3,1,72.318857729435,0.0203101988991708
2,23,0,0,0,12240.1503750967,2,2,13233.7457619919,0.207694891920144
2,23,0,0,0,18848.2900094824,3,3,20378.3017683565,0.319823975722035
2,23,0,0,0,1774.30698574233,1,3,1918.33652638885,0.0301070237165284
2,23,0,0,0,4513.0786242807,2,1,4879.42821675828,0.0765794004462703
2,23,0,0,0,934.101531375742,1,1,1009.92731325135,0.0158501415959928
2,23,0,0,0,10056.7115517578,3,2,10873.066081641,0.170645584801314
2,23,0,0,0,5653.77190721303,2,3,6112.71738691843,0.0959350587390546
2,23,0,0,0,2178.48100432145,1,2,2355.31940989665,0.0369651812173147
2,23,0,0,0,2734.432089797,3,1,2956.39987834055,0.0463987418413458
2,23,0,1,0,2436.73654977059,3,3,2895.18595950177,0.51432404074604
2,23,0,1,0,177.693946851565,3,1,211.125416927628,0.0375060113779691
2,23,0,1,0,31.1208044819852,1,1,36.9758955653724,0.00656869447538307
2,23,0,1,0,101.091598417175,1,2,120.111046222273,0.0213374890232973
2,23,0,1,0,433.610442934414,2,2,515.19023112911,0.0915225222606456
2,23,0,1,0,520.460695544098,2,3,618.380554251406,0.109854078401268
2,23,0,1,0,174.252983212393,1,3,207.037067854264,0.0367797242776563
2,23,0,1,0,128.351376787982,2,1,152.499499379312,0.0270912334577685
2,23,0,1,0,734.427374559923,3,2,872.60308189649,0.155016205979972
2,23,1,0,0,1447.94438093375,1,2,1959.63658399412,0.0567102051141004
2,23,1,0,0,5949.20268164988,3,3,8051.60431165102,0.233006535875468
2,23,1,0,0,674.365706711922,1,1,912.681265430594,0.0264122144836019
2,23,1,0,0,937.423202957726,1,3,1268.70122042689,0.036715127195816
2,23,1,0,0,4125.37816614813,3,2,5583.25449764934,0.161574605389623
2,23,1,0,0,2542.87903937618,2,1,3441.5125745506,0.0995944276605248
2,23,1,0,0,6331.83395291801,2,2,8569.4544771896,0.247992676339434
2,23,1,0,0,2295.43741544515,2,3,3106.62701883232,0.0899031263704536
2,23,1,0,0,1227.87796647224,3,1,1661.80042235296,0.0480910815709787
2,23,1,1,0,25.065331679222,1,1,33.4154812056604,0.0122115833765635
2,23,1,1,0,858.057980266043,3,3,1143.90747666487,0.418037419254677
2,23,1,1,0,80.6816147608381,2,1,107.559517511511,0.0393072901734023
2,23,1,1,0,250.244041106826,2,2,333.609192148269,0.121916438672039
2,23,1,1,0,336.10724624062,3,2,448.076471262091,0.163748148776218
2,23,1,1,0,74.9608346615802,1,2,99.9329429927734,0.0365201823044494
2,23,1,1,0,102.708977586229,1,3,136.924974865993,0.0500388049664445
2,23,1,1,0,235.741671318648,2,3,314.275569465904,0.114851026568481
2,23,1,1,0,89.018843067865,3,1,118.674171782442,0.0433691059077259
2,31,0,0,1,9316.74707832627,3,2,8530.29143071175,0.154889442764664
2,31,0,0,1,23682.1518416175,3,3,21683.0676218867,0.393712018945914
2,31,0,0,1,4697.16213206782,2,3,4300.66004228592,0.0780895755884322
2,31,0,0,1,3058.60536338762,3,1,2800.41895544529,0.0508488291449066
2,31,0,0,1,2404.97616566907,1,2,2201.96463471651,0.039982347382741
2,31,0,0,1,901.322269569534,1,1,825.238848686218,0.0149843398035108
2,31,0,0,1,2309.6001998263,1,3,2114.63965129852,0.0383967370749444
2,31,0,0,1,3125.46590656332,2,1,2861.63559186459,0.0519603750727249
2,31,0,0,1,10654.9187270126,2,2,9755.50384140015,0.177136334222162
2,31,1,0,1,4607.42999610654,3,3,8297.93237811327,0.294309497773339
2,31,1,0,1,403.534395797209,1,1,726.761151313782,0.0257766272003492
2,31,1,0,1,2362.98353224372,3,2,4255.70818823576,0.150940653945692
2,31,1,0,1,1178.98529022815,2,3,2123.33995771408,0.0753102204357784
2,31,1,0,1,755.895890397738,1,3,1361.36045229435,0.0482844753061648
2,31,1,0,1,3413.95474694384,2,2,6148.49615859985,0.218073700054696
2,31,1,0,1,849.855614641455,3,1,1530.58091548085,0.0542863547219037
2,31,1,0,1,991.14154121224,1,2,1785.03536528349,0.0633112970708112
2,31,1,0,1,1091.26930838911,2,1,1965.36440813541,0.0697071734912652
2,42,0,0,1,4571.68245743374,3,2,4924.17593308419,0.169352818086838
2,42,0,0,1,10969.4101596917,3,3,11815.1918930091,0.406349421813731
2,42,0,0,1,1277.16846071011,1,2,1375.64283068189,0.0473112645085806
2,42,0,0,1,1193.91352688981,1,3,1285.9686362807,0.0442271794275676
2,42,0,0,1,982.189350427464,2,1,1057.91974970663,0.036384096213704
2,42,0,0,1,4218.89370646065,2,2,4544.18587621141,0.156284156883241
2,42,0,0,1,2175.38478556358,2,3,2343.11492672716,0.0805846747425292
2,42,0,0,1,1328.64762038836,3,1,1431.09122227586,0.0492182518913282
2,42,0,0,1,277.728433334592,1,1,299.142313599586,0.0102881364324804
2,42,0,0,0,505.469911085075,3,2,4924.17593308419,0.169352818086838
2,42,0,0,0,1212.837249678,3,3,11815.1918930091,0.406349421813731
2,42,0,0,0,141.210644940153,1,2,1375.64283068189,0.0473112645085806
2,42,0,0,0,132.005529670803,1,3,1285.9686362807,0.0442271794275676
2,42,0,0,0,108.59616087771,2,1,1057.91974970663,0.036384096213704
2,42,0,0,0,466.463680830342,2,2,4544.18587621141,0.156284156883241
2,42,0,0,0,240.522294444722,2,3,2343.11492672716,0.0805846747425292
