Policy1,Policy2,Policy3,Policy4,MSA,,BaselineAdjDeaths,BaselineAdjEmpDays,Deaths,Case,EmpDaysLost,Population,Death5_17,Death18_49,Death50_59,Death60_69,Death70_79,Death80,Case5_17,Case18_49,Case50_59,Case60_69,Case70_79,Case80
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S1-N3-E2-M1,5600,0,-0.002771144,0.205852643,49868.54811,4583267.618,443733988.5,18007950.11,65.3411976,4636.258938,7272.756262,20705.96155,7750.835915,9437.394242,459482.08,2616392.812,783137.4838,472006.2412,146571.6351,105677.3666
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S1-N3-E2-M1,5600,0,0.00381077,0.000160337,50197.69073,4645849.691,368042594.6,18007950.11,65.37957517,4669.105462,7327.654108,20867.46798,7786.47417,9481.609434,460151.6589,2655601.473,795276.9486,479680.887,148237.6798,106901.0434
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S2-N3-E2-M1,5600,0,-0.003963863,0.413411128,49808.90369,4582471.031,520112105.4,18007950.11,65.9367633,4631.465309,7261.938017,20674.79723,7744.891981,9429.874384,467377.2885,2611468.302,781067.846,470737.6733,146326.3225,105493.5984
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S2-N3-E2-M1,5600,0,0.000217136,-0.000933086,50017.9834,4620367.299,367640232.6,18007950.11,65.98250984,4652.26919,7296.106385,20773.17563,7769.74439,9460.7053,468183.6617,2635089.07,788200.8074,475157.8928,147431.0941,106304.7732
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S2-N3-E2-M1,5600,0,-0.00255968,0.205906235,49879.12282,4594386.489,443753709.3,18007950.11,65.9544812,4638.518048,7273.512292,20708.51916,7752.864062,9439.754776,467678.1231,2618848.714,783319.8281,472141.6847,146659.8815,105738.2579
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S2-N3-E2-M1,5600,0,0.004165546,0.000285136,50215.43206,4659817.696,368088518.3,18007950.11,66.02823489,4672.420125,7329.58161,20873.42648,7789.178999,9484.796612,469035.582,2659626.426,795779.3002,480020.5796,148365.3544,106990.454
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S3-N3-E2-M1,5600,0,-0.003092818,0.413520078,49852.46214,4690019.646,520152197.4,18007950.11,71.17769055,4640.274676,7264.233927,20682.98328,7753.810826,9439.981741,561958.7645,2622565.977,781695.8741,471233.262,146773.5295,105792.2388
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S3-N3-E2-M1,5600,0,0.001419639,-0.000558566,50078.11713,4735927.051,367778049.8,18007950.11,71.3496564,4663.451695,7301.186944,20789.20839,7780.215071,9472.705374,565574.8527,2649882.779,789659.599,476169.1967,147970.6105,106670.013
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S3-N3-E2-M1,5600,0,-0.001517772,0.206135311,49931.22563,4705939.863,443838005.5,18007950.11,71.26064591,4648.46486,7277.309567,20721.11026,7762.431062,9450.649237,563694.8343,2631713.25,784398.2027,472924.1693,147145.1666,106064.2393
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S3-N3-E2-M1,5600,0,0.005855443,0.000825939,50299.93894,4787047.649,368287525.1,18007950.11,71.57166698,4686.780383,7339.009909,20902.55604,7801.265234,9498.755707,570430.4751,2679667.387,798597.1353,481918.7009,149005.835,107428.115
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S1-N1-E1-M2,5600,0,-0.003538523,0.414125426,49830.1737,4591305.707,520374955.5,18007950.11,65.49154851,4639.468253,7288.363022,20720.95288,7720.103956,9395.794035,461412.5448,2620525.124,786065.9703,472838.7944,145580.4365,104882.8371
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S1-N1-E1-M2,5600,0,0.001489384,0.03959914,50081.60489,4679786.165,382555427.1,18007950.11,65.58353174,4689.982033,7371.419747,20753.39285,7758.692457,9442.534265,463080.3614,2683328.456,804997.8918,474726.38,147438.3271,106214.7488
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S1-N1-E1-M2,5600,0,-0.002191906,0.226013175,49897.51414,4611933.398,451152733.5,18007950.11,65.51744726,4653.108186,7310.77217,20729.66411,7730.312548,9408.139679,461836.3839,2635066.786,790526.2082,473291.8746,146016.9364,105195.209
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S1-N1-E1-M2,5600,0,0.006988665,0.042786908,50356.60812,4794179.263,383728473.3,18007950.11,65.67389439,4750.211605,7471.585292,20784.89957,7796.242522,9487.995232,464885.2557,2765347.996,830082.8522,476756.5693,149449.7667,107656.8235
